eo,Sn,Z,kni,krcf,Vm,Vj,e,kf,Cluster
29.99994,3960.592477348947,0.3730169138126792,1000000.0,18.650845690633965,2.1505304806187894e-05,2.13891654846274e-05,23.48052236028557,18.763743034308465,3
29.99994,3676.1298276158823,0.6792101438517344,1000000.0,33.96050719258672,9.072550172570962e-06,9.050214583315424e-06,27.241434595005455,33.99447659820579,1
29.99994,2192.8313456873293,0.315045606524159,1000000.0,15.752280326207952,2.46857390909317e-05,2.4410933670649453e-05,22.559487417186045,15.988413454190356,0
29.99994,3184.3384799414853,0.5703024858432477,1000000.0,28.515124292162387,1.28923870409605e-05,1.2840400290385056e-05,26.08618599149063,28.584513530409573,1
29.99994,1902.6317784332675,0.7731285124631584,1000000.0,38.65642562315792,6.132088629905398e-06,6.1123887017928285e-06,28.136883923693546,38.68944105855013,2
29.99994,3492.782681938792,0.6132450961749567,1000000.0,30.66225480874784,1.132584444006432e-05,1.1289237482455875e-05,26.558980415347445,30.71383554736749,1
29.99994,1379.6740054146362,0.3187713156182594,1000000.0,15.938565780912969,2.4468690345038327e-05,2.404229720920575e-05,22.671847810634084,16.30933037780563,0
29.99994,3850.4144198432055,0.5198119060096363,1000000.0,25.990595300481814,1.4851810088710656e-05,1.4794743835110056e-05,25.49050207905845,26.06165664160784,1
29.99994,3655.5462818476985,0.2638301614044981,1000000.0,13.191508070224906,2.788482475700929e-05,2.767372716098397e-05,21.564987961332086,13.35012524145821,3
29.99994,2508.390452150067,0.5084239459531028,1000000.0,25.42119729765514,1.5313346491416665e-05,1.5220428066959558e-05,25.360753525190724,25.535071185347924,1
29.99994,2821.0067079084747,0.3615966087261663,1000000.0,18.07983043630832,2.210093184996545e-05,2.192912998717058e-05,23.315941179910407,18.24316826986384,3
29.99994,2731.173310946485,0.5043570166805775,1000000.0,25.21785083402888,1.5480051801456297e-05,1.5392806717301946e-05,25.308212512566364,25.32411925877437,1
29.99994,1326.9013312828347,0.6741756735023592,1000000.0,33.70878367511796,9.238587913232453e-06,9.174708745037343e-06,27.203488774512618,33.80546224014462,2
29.99994,1947.451714152672,0.4203092718572841,1000000.0,21.015463592864204,1.917529284467857e-05,1.8988327113825226e-05,24.21229789570607,21.21448504403253,0
29.99994,2026.219928048084,0.2953615305964795,1000000.0,14.768076529823976,2.586556272693398e-05,2.5539539596714256e-05,22.21548833092149,15.035293712715896,0
29.99994,2040.5464419399516,0.4288711890527414,1000000.0,21.443559452637075,1.8774750333977758e-05,1.8603581673437736e-05,24.32956830593617,21.62848362240468,0
29.99994,3085.1265057322885,0.6253420182666468,1000000.0,31.267100913332342,1.0899454493007386e-05,1.0861083332761529e-05,26.689481800174285,31.321966912568307,1
29.99994,1560.6620447605064,0.3957395609774178,1000000.0,19.78697804887089,2.0359743615470184e-05,2.0097559271689904e-05,23.87420393398892,20.054140671550552,0
29.99994,2616.304379343132,0.4528727892918383,1000000.0,22.643639464591917,1.7683004196704663e-05,1.7564291161336797e-05,24.646344054024546,22.777103064167413,3
29.99994,2336.3924928135293,0.526004891388808,1000000.0,26.3002445694404,1.4603993938919956e-05,1.451327638992752e-05,25.57629335635009,26.414286141112804,2
29.99994,1448.8986991837655,0.364126046568626,1000000.0,18.206302328431303,2.196780517531652e-05,2.16397098228216e-05,23.404156446003974,18.52082933528053,0
29.99994,2962.2331775689763,0.4774922754669562,1000000.0,23.87461377334781,1.660734817801929e-05,1.6514760471117188e-05,24.96624100840348,23.98286673518441,3
29.99994,2028.8985670077927,0.3491718567809336,1000000.0,17.45859283904668,2.2765192576692985e-05,2.25125907599319e-05,23.138102336372757,17.69291577312482,0
29.99994,2814.297499551681,0.5835567434636159,1000000.0,29.177837173180794,1.2399699872754768e-05,1.2345306867035691e-05,26.23709046692752,29.25170270489606,1
29.99994,2347.1408627297915,0.5905234170659173,1000000.0,29.526170853295863,1.2144092471136282e-05,1.2081582437482907e-05,26.317473673055208,29.611830067362515,2
29.99994,3948.303700029048,0.7851443148070665,1000000.0,39.25721574035333,5.775560558229557e-06,5.767124435035399e-06,28.242120472201208,39.271515835240855,1
29.99994,2721.0081326808045,0.4339371695336784,1000000.0,21.69685847668392,1.854057078868152e-05,1.8415092908060245e-05,24.38701968162324,21.833500724876977,3
29.99994,2786.076036163462,0.7282194387995025,1000000.0,36.41097193997512,7.5025791750663315e-06,7.482429860502897e-06,27.71929537851872,36.443258807606526,1
29.99994,3317.6854614846907,0.20364357601361,1000000.0,10.182178800680502,3.230648328847713e-05,3.1994927655008486e-05,20.24788605075341,10.375456456736948,3
29.99994,3698.281894763428,0.3068782355137183,1000000.0,15.343911775685918,2.516836840173464e-05,2.4998244800441528e-05,22.38047498482542,15.486941484110798,3
29.99994,3561.8995416437765,0.4973726350281148,1000000.0,24.86863175140574,1.5768712470021787e-05,1.5699211254341348e-05,25.21482040967676,24.952380073076288,1
